Topic,ParameterName,ParameterValue,Density,Throughput,AvgSpeed,Arrivals,AvgTravelTime,ArrivalRate,Spawned,Completion
AvoidLeft,avoidLeftRate,80%,0.4,0.043,0.003,5,102.60,0.001,61,0.082
AvoidLeft,avoidLeftRate,90%,0.4,0.031,0.002,1,34.00,0.000,48,0.021
AvoidLeft,avoidLeftRate,100%,0.4,0.052,0.003,9,102.33,0.001,76,0.118
StartupDelay,startupDelay,0 ticks,0.1,0.191,0.021,28,111.36,0.004,265,0.106
StartupDelay,startupDelay,1 ticks,0.1,0.186,0.020,57,92.49,0.007,277,0.206
StartupDelay,startupDelay,2 ticks,0.1,0.185,0.019,36,123.44,0.004,263,0.137
StartupDelay,startupDelay,3 ticks,0.1,0.202,0.023,38,113.92,0.005,278,0.137
StartupDelay,startupDelay,4 ticks,0.1,0.185,0.019,48,116.25,0.006,269,0.178
StartupDelay,startupDelay,0 ticks,0.2,0.113,0.009,20,95.90,0.003,167,0.120
StartupDelay,startupDelay,1 ticks,0.2,0.116,0.009,18,80.39,0.002,180,0.100
StartupDelay,startupDelay,2 ticks,0.2,0.115,0.009,18,85.17,0.002,169,0.107
StartupDelay,startupDelay,3 ticks,0.2,0.123,0.010,25,115.68,0.003,178,0.140
StartupDelay,startupDelay,4 ticks,0.2,0.113,0.009,23,102.52,0.003,169,0.136
NavCompliance,complianceRate,0%,0.1,0.191,0.021,28,111.36,0.004,265,0.106
NavCompliance,complianceRate,20%,0.1,0.191,0.021,28,111.36,0.004,265,0.106
NavCompliance,complianceRate,40%,0.1,0.191,0.021,28,111.36,0.004,265,0.106
NavCompliance,complianceRate,60%,0.1,0.191,0.021,28,111.36,0.004,265,0.106
NavCompliance,complianceRate,80%,0.1,0.191,0.021,28,111.36,0.004,265,0.106
NavCompliance,complianceRate,100%,0.1,0.191,0.021,28,111.36,0.004,265,0.106
NavCompliance,complianceRate,0%,0.2,0.113,0.009,20,95.90,0.003,167,0.120
NavCompliance,complianceRate,20%,0.2,0.113,0.009,20,95.90,0.003,167,0.120
NavCompliance,complianceRate,40%,0.2,0.113,0.009,20,95.90,0.003,167,0.120
NavCompliance,complianceRate,60%,0.2,0.113,0.009,20,95.90,0.003,167,0.120
NavCompliance,complianceRate,80%,0.2,0.113,0.009,20,95.90,0.003,167,0.120
NavCompliance,complianceRate,100%,0.2,0.113,0.009,20,95.90,0.003,167,0.120
GreenWaveCompliance,greenWaveCompliance,0%,0.1,0.184,0.019,35,77.97,0.004,257,0.136
GreenWaveCompliance,greenWaveCompliance,20%,0.1,0.203,0.023,54,72.65,0.007,287,0.188
GreenWaveCompliance,greenWaveCompliance,40%,0.1,0.190,0.020,34,68.50,0.004,261,0.130
GreenWaveCompliance,greenWaveCompliance,60%,0.1,0.155,0.015,24,59.29,0.003,222,0.108
GreenWaveCompliance,greenWaveCompliance,80%,0.1,0.177,0.018,52,58.75,0.006,260,0.200
GreenWaveCompliance,greenWaveCompliance,100%,0.1,0.161,0.016,23,56.74,0.003,225,0.102
GreenWaveCompliance,greenWaveCompliance,0%,0.2,0.131,0.010,22,70.55,0.003,183,0.120
GreenWaveCompliance,greenWaveCompliance,20%,0.2,0.125,0.010,39,70.15,0.005,183,0.213
GreenWaveCompliance,greenWaveCompliance,40%,0.2,0.129,0.010,32,64.47,0.004,186,0.172
GreenWaveCompliance,greenWaveCompliance,60%,0.2,0.165,0.014,46,74.80,0.006,229,0.201
GreenWaveCompliance,greenWaveCompliance,80%,0.2,0.120,0.009,22,67.95,0.003,166,0.133
GreenWaveCompliance,greenWaveCompliance,100%,0.2,0.131,0.010,33,60.36,0.004,188,0.176
